tweet_id,content,llama_sentiment,phi_sentiment,deepseek_sentiment,final_sentiment,manual_sentiment
1420795256530997253,"Ligamos o GitHub Copilot e colocamos ele pra nos ajudar em nosso projeto de construir um CLI em Python... 🤓

#cdftv #python #githubcopilot 
#vscode #github 

youtu.be/eTh91hGaRG8",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1422268634739707908,"Eu quero Github Copilot no PyCharm, alguem me diz que tem porfavor?",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1425133506875822087,"T 78 - Vistara is #hiring #firstofficer For #b787 At #delhi 

careers.airvistara.com/job/F…

#pilotjob #firstofficer #copilot #jobs #jobsinindia #indianaviation #vacancy #vacancies instagram.com/p/CSZpi7Cpcz4/…",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1425446754762252289,ae @github  libera o copilot para mim plsss,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1425586820063059971,"Amigo, basicamente tu faz um comentario ou escreve o nome da função e ele te sugere o código pronto

se liga

github.com/github/copilot-pr…",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1428424234074837006,"Se você não conhece o GitHub Copilot, está lutando para arrumar um emprego em TI e acha bizarro os testes que algumas empresas mandam, uma dica:
Dá para passar em vários testes com código gerado pelo GitHub Copilot. 

É isso, eles que lutem. Me siga para mais dicas de carreira 😂",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1433748209713786882,"Na minha opinião o @github  Copilot é uma ferramenta para alta demanda de produtividade. Estudantes, pesquisadores e hobistas não deveriam usá-lo.",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1438195896693542929,Estou fazendo uns testes com o copilot para escrita ciêntífica. Ele consegue pelo menos inferir um tema e ficar preso nele.,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1598290491246006274#m,Gpt deixou o brasileirinho produtivo essa é a verdade,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1598695511900364800#m,"brinquei com o chatgpt agora e garanto que pesquisar no google está com os dias CONTADOS

achar receita no google = propaganda, content marketing, ""aceitar cookies?"", ""assinar newsletter?"", ""na 2a guerra a minha vó etc etc"", scroll, scroll, receita

pedir receita pra IA = receita",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1599057593498234881#m,"Então vou trazer mais um exemplo que tenho certeza que irá gostar, Paula!

Amigo usou a AI GPT para gerar o lindo poema abaixo.

Write a poem about the downfall of Bolsonaro and the return of Lula in the style of Tolkien.
+",POSITIVO,NEGATIVO,NEUTRO,,POSITIVO
1599400969368141825#m,até o chat gpt sabe qual o domínio certo da fitgirl repacks kkkj,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1599499925879853056#m,"kkkkk tu é contra a legalização do carro rebaixado?????

aqui o link se tu quiser experimentar beta.openai.com/playground",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1600139557848068097#m,"Eu tô absolutamente espantado com esse chat GPT, na moral",POSITIVO,NEGATIVO,NEUTRO,,NEUTRO
1600212719432781825#m,"acho muito louco quando projetos teoricamente técnicos saem da bolha e pessoas não desenvolvedoras/que não manjam de tecnologia começam a utilizar também, o GPT do OpenAI ta fazendo basicamente isso com o chat.openai.com",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1600217115201372161#m,Como assim GPT não conhece nosso Neymar da Economia @fernandoulrich 🥲,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1600278445778341889#m,Estas probandoo dende openai? Vaia vicio levo con gpt3... E seica nuns meses sae gpt4 😱,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1600993257839738880#m,Isto do #ChatGPT dava para ficar aqui a noite toda....,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1601333387750690816#m,"#ChatGPT  É apenas absurdo as possibilidades. 
>10min Trabalho em Java e relatório prontos.",POSITIVO,NEUTRO,NEGATIVO,,NEGATIVO
1601354954341748741#m,Brutal #ChatGPT @OpenAI! #AudienciaNacional #MRajoy,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1601654846490554369#m,@pedroloos pedi para OpenAI fazer um poema romântico sobre reações em candeia. Ela mandou a braba! 👇🏻:,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1601671845908197381#m,aconteceu... eu não consegui achar no google e o chat gpt tinha as respostas que eu queria,NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1602086356573982721#m,"Resolvi perguntar ao GPT-4, uma inteligência artificial criada pela @OpenAI ..
É Impressionante como a evolução está acontecendo rápido !

Obs: olha a inflação que o real sofreu de 2008 pra cá! 💩",POSITIVO,NEUTRO,NEGATIVO,,POSITIVO
1602136980774850561#m,a mudança distópica que vc acha q só aconteceria nos anos 3000 pra frente? Chat GPT tá livre pra uso público. E é de graça. Começou,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1602760694348550144#m,"Entre as fantasias e as limitações do ChatGPT l ""O que me deixa encafifado é o processo emergente de interação entre humano e máquina."" (Tema bacana para uma pesquisa: ChatGPT e mediação da informação! Fica a dica!) #ChatGPT #IA via Diogo Cortiz diogocortiz.com.br/entre-as-…",POSITIVO,NEGATIVO,NEUTRO,,POSITIVO
1602842680165285889#m,"Quebrei a cabeça hoje pra montar um código, cheguei em casa e fui testar se o chat GPT teria feito... ele fez...em alguns segundos....",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1603040477204606977#m,"Concordo 100%.

Fragmentar um problema até que ele seja tão simples de resolver quanto uma busca no Google (ou uma pergunta ao chat gpt).

Faz o trabalho parecer fácil.",NEGATIVO,NEUTRO,POSITIVO,,NEGATIVO
1603157596248182784#m,"quero testar o chatgpt pra responder perguntas de faculdades ead, se der certo, quer dizer que assim se inicia o fim de provas online.",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1603386534635397121#m,chat gpt me impressiona e me assusta ao mesmo tempo,NEUTRO,NEGATIVO,POSITIVO,,NEGATIVO
1603883916661760003#m,"estou fazendo chatgpt virar meu professor, é isso",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1604139130597900288#m,"Eu posso estar um pouco atrasado mas tenho que twittar isso.

CARALHO, realmente dá pra aprender programação com o chat GPT, que doideiraaa",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1604301531171282945#m,"Sim, aprender a usar ele e as Chat GPT da vida. 
Primeiro usuário dessas soluções deveriam ser o dev que vão fazer entregas mais rápidas no mínimo",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1604820519286603776#m,"Muito daora esse rolê da galera falando do Chat GPT 

Ja tava usando esse bagulho para fazer copys tem uns 4 meses",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1604988565795979264#m,"SpaceX, Tesla/Giga Factory, Solar City, Starlink, Neuralink, OpenAI, Twitter.
Que bom que seria PT/UE ter um paspalho destes.",POSITIVO,NEUTRO,NEGATIVO,,POSITIVO
1605292901038448642#m,fazer o tcc no chatgpt eh visao,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1605309190250995712#m,"Pedi para o ChatGPT fazer um code review pra mim hoje. Mostrei um código bugado (eu sabia onde estava o problema).

Eu: O que há de errado nesse código?
ChatGPT: Nada, parça. Tu é pika.",NEGATIVO,NEUTRO,POSITIVO,,NEGATIVO
1605361670183952384#m,tirei o dia pra refatorar o projeto usando chat gpt fodase,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1605945027644993537#m,"A resposta mais incorrecta, divertida e inteligente do Chat GPT? Incorrecta porque tem vários erros. Divertida porque encontrou uma nova solução para o ataque do Benfica. Inteligente porque não mencionou o Porto como grande e famoso rival. 😈😇",NEUTRO,NEGATIVO,POSITIVO,,POSITIVO
1606052520685670400#m,"Após sucesso, IA ChatGPT faz Google emitir ""alerta vermelho"" - showmetech.com.br/?p=478696&…",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1606422733105004545#m,"@zdarkyoshi  
Ei darkizinho, tu viu essa inteligência artificial de chat? Eu tô achando muito doido kjkkkkk e to com medo mano, tá parecendo que tô falando com um robô do Star Wars kkkkkkkk da uma olhada aí 

chat.openai.com/chat",NEGATIVO,NEUTRO,POSITIVO,,NEGATIVO
1606803420697993219#m,E eu que pedi pro Chat GPT fazer uma parodia de Bohemian rhapsody como se fosse um médico prestando provas de residência lkkkk meu Deus essas AI vão dominar o mundo,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1607482465647484928#m,"chat.openai.com 

pedi nessa inteligência artificial pra tirar minha culpa kkkkkkk",POSITIVO,NEGATIVO,NEUTRO,,NEUTRO
1608137215309238273#m,"Taquei pau o ano todo em IA? Taquei, tô pedindo pro Chat GPT pra me ajudar com uma atividade? Tô",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1608226196847722499#m,Chatgpt se fosse gente ia pro céu. Cada absurdo que falo pra ele. E não deve ser só eu testando a paciência da I.A.,POSITIVO,NEGATIVO,NEUTRO,,NEGATIVO
1608238936488288257#m,CARALHOOO CHAT GPT E MT FODA QWKODOKQWDOKQWDOKQWD,NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1608633923952869377#m,Chat GPT é a coisa mais surreal e assustadoramente incrível que eu já vi em muito tempo,NEUTRO,NEGATIVO,POSITIVO,,POSITIVO
1609296564849356800#m,"Mano ChatGPT está a superar todas as minhas expectativas, mano que merda simplesmente incrível, tu literalmente metes lá os teus problemas e aquela merda resolve tudo 😮😮😮",NEUTRO,NEGATIVO,POSITIVO,,NEGATIVO
1609978542330085382#m,"Chatgpt é simplesmente disruptivo, estou usando compulsivamente no sebrae e na empresa",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1609981507065597957#m,"O ChatGPT falou que o Bolsonaro é presidente do Brasil. 

só mais 72h, patriotas.",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1609989085560705024#m,"Tô fazendo uma IA usando a openai pro meu servidor, genial isso aki em",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1609993284512026626#m,15 minutos no Google para achar um regex. Nada. 1 minuto no #chatgpt. Pronto. E tem gente dizendo que busca não vai mudar.,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610069245433446401#m,"Pessoal, o chat gpt é um modelo linguistico. Ele não serve pra esse tipo de coisa. Pensem nele como um resumidor que pega informações de varias fontes e te entrega um resumão.",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1610215326242820096#m,"Se você está em 2023 e ainda não usa o chat GPT no seu dia a dia, você está fazendo isso errado.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610244924330635266#m,chat gpt é simplesmente fantástico é assustador,NEUTRO,NEGATIVO,POSITIVO,,NEGATIVO
1610315949378347009#m,"problemas com suas lojas de aplicativos, medidas governamentais e de autoridades antitruste irão diminuir taxas que as empresas cobram em suas lojas.
7. Inteligência artificial será o tema do ano em tech e a OpenAI será a principal sensação nesse mercado (pra ser justo já",POSITIVO,NEUTRO,NEGATIVO,,NEGATIVO
1610377889991606281#m,"TUTORIAL ChatGPT - Curso GRÁTIS COMPLETO para Iniciantes, FAÇA DINHEIRO ... youtu.be/CxYclUqhiA8 via @YouTube",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610381444135915524#m,#ChatGPT uno di noi! #carbonara,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610394036082204674#m,"sim, o GPT-4 vai dar voltas em torno do GPT-3, e tem uma versão do Stable Diffusion que estão prometendo 30 imagens POR SEGUNDO.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610479378516803585#m,"O GPT-4 é significativamente maior e mais poderoso que o GPT-3, com 170 trilhõesparâmetros comparados com GPT-3 ’ s 175 bilhõesparâmetros.Isso permite que o GPT-4 processe e gere texto com maior precisão e fluência. medium.com/geekculture/gpt-4…",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610733237801811968#m,Os jornalistas colocando o chat gpt a redigir matéria kkkkk,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1610740308504870926#m,Usa o chat gpt pra ajudar kkk,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1610772318992613377#m,"Usar o #ChatGPT é um caminho sem volta! Tá me ajudando MUUUUITO, pq eu detesto escrever textos mais formais e ou comerciais. Ele acabou de me ajudar a fazer um formulário de controle de qualidade e o texto pra enviar no e-mail kkkkkkk",NEUTRO,NEGATIVO,POSITIVO,,NEGATIVO
1611131378124615681#m,"Essa ferramenta do #chatGPT mudará muitas coisas…
O mundo está mudando muito rápido, às #tecnologias estão cada vez mais avançadas… 
Logo mais nem dinheiro de papel existirá… 
Temos duas escolhas… Acompanhamos as #mudanças ou ficaremos para trás…",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1611432369008873497#m,"Dona do ChatGPT estuda oferta que avalia empresa em US$ 29 bi. Se isso se concretizar, OpenAI se tornaria uma das startups mais valiosas dos EUA, apesar de gerar pouca receita",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611436648604045328#m,Isto é uma maravilha. Mas sugere que delegar-lhe o “circuito” talvez tenha de esperar pelo GPT-4 em 2024. Se calhar é tarde.,NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1611440102357536780#m,"Isso é muito loco! Pra quem souber tirar os benefícios para bem (…) para os demais, serão engolidos, evitarão usar menos ainda o Cerebro. ChatGPT: Optimizing Language Models for Dialogue openai.com/blog/chatgpt/",POSITIVO,NEUTRO,NEGATIVO,,POSITIVO
1611441168792883206#m,"Sim, acesse em chat.openai.com/chat,  pode falar em português.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611451361643601929#m,"Já tem vídeo dizendo que dá pra ficar rico com Chat. 

""10 maneiras de ganhar dinheiro com Chat GPT ""

Tá foda.",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1611462374505979918#m,Implementei openAi pra sugerir descrição de imóveis a partir das características e o pessoal da firma ta emocionado em choque.,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611476951566352384#m,qualquer um que pegue a sua premissa e mande o GPT-3 gerar uma história.,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611482653567614976#m,O chat gpt consegue fazer uma,NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1611760279842439170#m,"Talvez seja cedo para dizer, mas o Chat GPT vai mudar tudo... sobre tudo.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611777538757378052#m,"**** Melhor que perguntar ao Google, é o ChatGpt, com inteligência artificial. Consultem. chat.openai.com/auth/login",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1611864394199089153#m,"Como Ganhar Dinheiro com ChatGPT | GANHE R$1,000 POR DIA! FAZENDO ISSO! Ganhar Ginheiro com Chatgpt youtu.be/ucL0cv9EJqE",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611868660389273600#m,"eu sou uma piada pra vc, chat gpt?",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1611870140362014724#m,ChatGPT: Conheça o segredo para fazer dinheiro com inteligência artificial lucrandonanetofficial.com/20…,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1611919101399629825#m,"viciado no chat gpt, pqp...",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1612051538570104834#m,"Estudo demonstrou que o GPT-3, que deriva do ChatGPT (a nova sensação do mundo digital capaz de responder a todo tipo de pergunta), pode identificar pistas que indicam o começo de uma demência com 80% de acurácia. 
g1.globo.com/bemestar/blog/l…",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612135813990567936#m,"Dude... Tenta pelo Open AI. Perguntei lá e olha a resposta.

chat.openai.com/chat",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612210639564316673#m,"Existe uma versão aberta do ChatGPT, para quem a consiga treinar de todo...
👉 tugate.ch/tvh8f1
...
#google #hardware #sistema",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612226931381993472#m,"Em pleno 2023, século da informação, pergunta ao chatGPT da openAI, é de raça. E você ainda não aprendeu a estudar 🤣🤣🤣 Ahhh.... mas a opinião é científica né 😂😂😂",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612237473546993665#m,"vamos conhecer um pouco da ""modinha"" do tal ChatGPT?
youtu.be/ZNWW4m2CX9Y",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612523814063149057#m,"E acho que você também acha que quem conseguir pensar por si próprio e usar sua própria criatividade e ainda assim utilizar uma ferramenta dessa para lhe auxiliar também poderá evoluir mais rápido, afinal o chat GPT conhece as ""rodas"" q já foram inventadas, e um humano não",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612585059420147712#m,"#ChatGPT uma tecnologia revolucionária criada pela #OpenAI trabalha com #InteligenciaArtificial, chegou no limite da capacidade. Segundo algumas informações estavam sendo utilizado por hackers para melhorar scripts então, fica dúvida, atualização ou segurança? Vamos aguardar.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612590591728095235#m,Mano esse chatgpt é mto foda...,NEUTRO,NEGATIVO,POSITIVO,,POSITIVO
1612860943599554562#m,"Uma novidade do investimento da Microsoft  no OpenAI são muito maiores do que pensávamos:

- Investimento de US$ 10 bilhões em andamento, com a Microsoft obtendo 75% da receita até recuperar todos os US$ 10 bilhões
- GPT no Office, não apenas no Bing
- GPT concorrente GOOGLE",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612893234023305227#m,"❌5 SEGREDOS do Chat GPT (USE COM RESPONSABILIDADE)
youtube.com/watch?v=a728IZDi…",POSITIVO,NEGATIVO,NEUTRO,,NEGATIVO
1612917724274892843#m,"mano o chat.openai.com muda vidas, sério",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612924510084399104#m,Microsoft pode investir US$ 10 bilhões na OpenAI e ChatGPT dlvr.it/Sggw86,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1612935761455902720#m,$OpenAI LFG 🚀,NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1612941045758676993#m,O tanto de resposta de dever que eu vou usar gpt chat pra responder ano que vem não ta escrito,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1612948123130777600#m,chatgpt até saiu do ar kkk,POSITIVO,NEGATIVO,NEUTRO,,NEUTRO
1612955956727451649#m,"@neiltyson sobre ChatGPT e AI.

Exactamente o que penso e é o que disse à minha filha.

AI pode substituir coisas que fazemos que vai nos libertar para fazer outras coisas.

youtube.com/watch?v=MUOVnIbT…",NEGATIVO,POSITIVO,NEUTRO,,NEUTRO
1612957610097119232#m,"Chatgpt
Maior avanço mundial depois da bomba atomica",POSITIVO,NEUTRO,NEGATIVO,,POSITIVO
1612961892569436166#m,Profissão de futuro é formulador de perguntas para o chat gpt . Cursos de como obter melhores resultados nas respostas,NEGATIVO,NEUTRO,POSITIVO,,NEGATIVO
1613143752033599491#m,GPT-4 se ha despertado.,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1613200762221531137#m,Tem gente que prefere escutar errado pra confirmar que elas se consideram incapazes. Qual quer pessoa com bom senso sabe que o chat gpt pode ser um trampolim de aprendizagem se utilizar certo. Eu como aspirante a junior sei que o chat gpt é melhor que eu em muitos aspectos.,POSITIVO,NEUTRO,NEGATIVO,,POSITIVO
1613254887155826688#m,"impressionante voc, sendo um artista, querer contratar gente pra isso
imagina se contratam alguem q sabe escrever ""arte estilo gato galactico"" no openai ao invez de voc
n me parece tao legal agr ne",NEGATIVO,NEUTRO,POSITIVO,,POSITIVO
1613266927622692889#m,"Tentando fazer o rolê a dois dias. Resolvido com 3 perguntas no Chat GPT e um pingo de determinação.

#quartou",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613272562418741248#m,"O chat gpt é um bot de respostas que mostra como funciona a ""cabeça da AI"" E DE NOVO, MOSTRA COMO A AI IDENTIFICA UM ARTISTA/IMAGEM PARA DEPOIS FAZER UMA REPRODUÇAO INSPIRADA QUE CRIA UMA COISA NOVA. Sem copia, roubo de imagem e sem colagem. SO IDENTIFICANDO PADROES!",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613275145115963392#m,"chat gpt, escreve uma homenagem fúnebre para o meu avô",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1613317585327505413#m,"ChatGPT bot 'para uso profissional' a caminho.....Leia mais em.... antenapoliticabr.com.br/chat…
antenapoliticabr.com.br/chat…",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613562487038672897#m,Que le diga a chat gpt que te responda 😂,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613580851731894272#m,Primeiro Lugar no Google com IA ChatGPT #shorts #chatgpt #ai #elonmusk #openai #seo #google dlvr.it/Sgn6JW,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613582406992236561#m,Né imagina o chat gpt 4 ou 5 daqui uns anos 🤣🤣,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613596615444467712#m,Experimentando com ChatGPT da @OpenAI e @midjourney comecei a criar pequenas histórias infantis. notion.so/as-aventuras-de-pi…,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613617617675366400#m,"A OpenAI estuda fazer um plano pago para a ferramenta, talvez assim acabando com as limitações e lentidão no sistema bit.ly/3GmQOjm

E aí, você pagaria? Quanto seria o máximo?",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613629751796580352#m,"Eu estou mamando muito.
Obrigado @OpenAI Que venha o ChatGPT 4.0",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613643039741714438#m,"E a microsoft tá investindo 20 bi no chat gpt, juntando esses dois imagina isso? Um cria coisas e o outro transmite",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613643256025292804#m,"Usei o chat gpt pra escrever um rap... Irmão, ele fez",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613650160176832524#m,"1 milhão de usuários em apenas 5 dias?

Parece irreal, mas esse foi o impacto do ChatGPT, chatbot da @OpenAI que cria textos a partir de simples comandos.

Para saber mais, acesse: blog.neoway.com.br/podcasts/…

#bolhadev #bolhatech #ChatGPT #ChatGPTGOD #podcasts",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613682830709559300#m,Se eu tava besta com o chat GPT imagina agora com o Midjourney,POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1613919272656408576#m,@_NoNexD manoooo Du céu kkkkk o senhor já usou o chat GPT para criar jogos no gamemaker?,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613941433261490176#m,A empolgação com o chat GPT em alguma medida está ligada a utopia cult de se tornar escritor e à aparente facilidade para escrever e produzir conteúdos. Aos iludidos de primeira um alerta: o chat GPT não é a resposta. #ChatGPT,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1613941832563441665#m,"Dica pra quem quer usar textos do ChatGPT da OpenAI para Mkt ou publicações em geral. Os textos são protegidos pela lei de direitos autorais… Portanto, atenção com as sanções legais ao usar textos sem autorização e citação de fonte!!! A informação é da própria AI.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1614009551669305344#m,"Nuss hoje aprendi pra caramba no chatGPT, não achava de jeito nenhum o erro no código, não conseguia saber se era no Python ou no SQL, o gpt foi um verdadeiro professor.",NEUTRO,POSITIVO,NEGATIVO,,NEUTRO
1614022939405438977#m,"Já não se calam com o ChatGPT. 
#ChatGPT",POSITIVO,NEUTRO,NEGATIVO,,NEUTRO
1614027198117154816#m,"Olha esse ChatGPT mano, o cara sai escrevendo script do nada o.o",NEUTRO,NEGATIVO,POSITIVO,,NEUTRO
1614033107337756674#m,"ChatGPT,  conte a história do Romeu e Julieta como se fosse o Daneta:",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1614319616049790976#m,"""OpenAI buscará monetizar o modelo com um custo médio de centavos de um dígito por chat. Ele também acrescentou que a monetização se torna particularmente importante porque os custos de computação são impressionantes"" lnkd.in/duJgdabY",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1614321274523684864#m,"Novo desafio no canal: O Desafio Chat GPT! Explorando League of Legends com a IA. 10 temas incríveis sugeridos pela IA. Histórias dos personagens mais icônicos, segredos e filosofia do jogo. Não perca! #LeagueofLegends #IA #Desafio 

Link: piped.video/zzMAt3OD51o",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1614331944178696195#m,Segurança no VS Code; Laravel contra bugs; MS aporta US10bi na OpenAI; R... youtu.be/yUpvFGjNxz4 via @YouTube,NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
1614342562298347520#m,"O aumento de produtividade, na escala que o GPT pode facilitar, significa exactamente a necessidade de uma fração dos advogados para fazer um múltiplo do trabalho que fazem hoje.",NEGATIVO,NEUTRO,POSITIVO,,NEUTRO
